310    7.1    0.3
340   11.7    0.5
370   16.5    0.7
400   21.5    1.0
430   26.6    1.3
460   31.9    1.8
490   36.9    3.0
520   40.7    7.5
550   50.5    5.4
580   54.7    3.2
610   59.3    2.5
640   63.8    2.1
670   68.1    1.8
700   72.2    1.7
730   76.2    1.6
760   80.3    1.6
790   84.3    1.6
820   88.6    1.7
850   93.5    1.8
880   99.7    2.2
910  108.8    3.4
940  122.7    7.0
970  152.0    6.3
1000  227.2    1.5
1030  233.6    1.6
1060  240.1    1.7
1090  247.6    1.8
1120  251.2    1.8
1150  254.9    2.0
1180  259.1    2.1
1200  259.9    2.3
